2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 451, column 'company_id' - found int value: 18484
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 456, column 'company_id' - found int value: 15761
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 469, column 'company_id' - found int value: 34923
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 470, column 'company_id' - found int value: 80080
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 486, column 'company_id' - found int value: 22349
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 487, column 'company_id' - found int value: 1287
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 488, column 'company_id' - found int value: 1543
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 489, column 'company_id' - found int value: 122200
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 490, column 'company_id' - found int value: 128728
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 491, column 'company_id' - found int value: 18445
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 492, column 'company_id' - found int value: 81893
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 493, column 'company_id' - found int value: 1543
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 494, column 'company_id' - found int value: 20020
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 495, column 'company_id' - found int value: 103303
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 496, column 'company_id' - found int value: 123067
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 497, column 'company_id' - found int value: 15761
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 499, column 'company_id' - found int value: 27920
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 500, column 'company_id' - found int value: 94691
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 501, column 'company_id' - found int value: 15502
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 503, column 'company_id' - found int value: 46059
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 504, column 'company_id' - found int value: 1158
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 506, column 'company_id' - found int value: 15761
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 509, column 'company_id' - found int value: 2177
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 510, column 'company_id' - found int value: 225
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 511, column 'company_id' - found int value: 27920
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 516, column 'company_id' - found int value: 1792
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 518, column 'company_id' - found int value: 29483
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 534, column 'company_id' - found int value: 63452
